Skill,Demand_Count,Demand_Score
python,220,1.0
communication,167,0.759090909090909
git,156,0.7090909090909091
leadership,150,0.6818181818181818
problem-solving,147,0.6681818181818182
java,140,0.6363636363636364
sql,134,0.6090909090909091
python basics,129,0.5863636363636363
docker,118,0.5363636363636364
aws,102,0.4636363636363636
kubernetes,98,0.44545454545454544
teamwork,95,0.4318181818181818
ci/cd,91,0.41363636363636364
node.js,88,0.4
collaboration,87,0.39545454545454545
project management,85,0.38636363636363635
r,80,0.36363636363636365
tableau,79,0.35909090909090907
python advanced,76,0.34545454545454546
figma,72,0.32727272727272727
azure,72,0.32727272727272727
power bi,71,0.32272727272727275
javascript,70,0.3181818181818182
team leadership,67,0.30454545454545456
adaptability,64,0.2909090909090909
mongodb,63,0.2863636363636364
team collaboration,63,0.2863636363636364
postgresql,61,0.2772727272727273
time management,60,0.2727272727272727
html,58,0.2636363636363636
css,58,0.2636363636363636
creativity,57,0.2590909090909091
mysql,56,0.2545454545454545
java basics,51,0.2318181818181818
angular,50,0.22727272727272727
rest apis,49,0.22272727272727272
gcp,47,0.21363636363636362
react,46,0.20909090909090908
django,45,0.20454545454545456
express.js,45,0.20454545454545456
adobe xd,45,0.20454545454545456
hadoop,45,0.20454545454545456
javascript basics,43,0.19545454545454546
pytorch,39,0.17727272727272728
tensorflow,39,0.17727272727272728
vue.js,38,0.17272727272727273
flask,37,0.16818181818181818
terraform,37,0.16818181818181818
nosql,36,0.16363636363636364
snowflake,35,0.1590909090909091
csharp,34,0.15454545454545454
typography,33,0.15
javascript advanced,33,0.15
agile,32,0.14545454545454545
cross-functional collaboration,32,0.14545454545454545
spark,32,0.14545454545454545
c++,31,0.1409090909090909
strategic planning,31,0.1409090909090909
sketch,31,0.1409090909090909
jira,31,0.1409090909090909
c++ basics,31,0.1409090909090909
java advanced,31,0.1409090909090909
microservices,31,0.1409090909090909
scikit-learn,30,0.13636363636363635
graphql,30,0.13636363636363635
performance optimization,30,0.13636363636363635
stakeholder management,30,0.13636363636363635
color theory,29,0.1318181818181818
kafka,29,0.1318181818181818
jenkins,29,0.1318181818181818
critical thinking,28,0.12727272727272726
sql basics,28,0.12727272727272726
pandas,27,0.12272727272727273
excel,26,0.11818181818181818
redshift,26,0.11818181818181818
typescript,26,0.11818181818181818
lead generation,25,0.11363636363636363
