Title,Role_Skills
.NET Developer,"['.net core basics', 'git', 'design patterns', 'html', 'kubernetes', 'csharp', 'vb.net basics', 'ci/cd', 'entity framework', 'solid principles', 'mvc', 'azure devops', 'azure', '.net core fundamentals', 'rest apis', 'asp.net core', 'asp.net basics', 'moq', 'docker', 'f#', 'angular', 'grpc', 'unit testing basics', 'aspnet', 'testing with xunit', 'dotnet', 'linq', 'nunit basics', 'sql server', 'razor', 'dapper', 'vb.net', 'blazor', 'javascript basics', '.net framework', 'webapi', 'visual studio', 'testing with nunit', 'microservices', 'nosql', '.net framework basics', 'entity framework basics', 'css', 'signalr']"
AI Engineer - Experienced,"['kubernetes', 'spark', 'deep learning', 'r', 'c++', 'pytorch', 'keras', 'ci/cd', 'llms', 'nlp', 'azure', 'gcp', 'apache spark', 'java', 'aws', 'docker', 'python', 'onnx', 'hugging face', 'tensorflow', 'mlops', 'lime', 'computer vision', 'hugging face transformers', 'shap', 'generative ai', 'reinforcement learning', 'model monitoring', 'hadoop', 'scikit-learn']"
AI Engineer - Fresher,"['c++', 'r', 'pytorch', 'keras', 'nltk', 'java', 'clustering', 'python', 'pandas', 'supervised/unsupervised learning', 'regression', 'numpy', 'tensorflow', 'neural networks', 'opencv', 'classification', 'sql', 'mongodb', 'nosql', 'scikit-learn']"
AI Prompt Engineer,"['intro nlp', 'openai gpt models exposure', 'teamwork', 'leadership', 'python basics', 'communication', 'pytorch', 'nlp basics', 'iterative prompt optimization', 'nlp introduction', 'prompt writing', 'openai gpt basics', 'python advanced', 'api integration (openai/azure)', 'introductory nlp', 'chain-of-thought prompts', 'machine learning for prompt tuning', 'deep nlp expertise', 'machine learning analysis', 'tensorflow basics', 'data visualization', 'python', 'hugging face', 'openai gpt intro', 'nltk basics', 'data analysis', 'chain-of-thought prompting', 'prompt optimization techniques', 'openai api', 'azure cognitive services', 'openai gpt models intro', 'iterative prompt design', 'pytorch basics', 'critical thinking', 'advanced python', 'tensorflow', 'collaboration', 'advanced prompt design (chain-of-thought, iterative optimization)', 'prompt chain-of-thought', 'hugging face basics', 'gpt models intro', 'hugging face transformers', 'javascript basics', 'spacy basics', 'nlp frameworks', 'intro to nlp', 'javascript advanced', 'llm tuning', 'creativity', 'hugging face transformers basics', 'openai gpt model basics', 'data analytics', 'javascript', 'advanced nlp', 'nlp techniques', 'prompt iterative optimization', 'prompt design optimization', 'problem-solving', 'prompt writing fundamentals', 'gpt model exposure']"
AR/VR Developer,"['unreal engine basics', 'teamwork', 'vuforia', 'communication', 'python basics', 'leadership', 'c++, c# expert', 'gesture/motion tracking', 'arcore basics', 'arkit advanced', 'arcore advanced', 'ui/ux fundamentals', 'project management', 'cross-platform optimization', 'project coordination', 'performance optimization', 'ui/ux design expert', 'advanced 3d modeling/animation', 'motion tracking basics', '3d modeling basics', 'advanced 3d modeling and animation', 'cross-platform deployment', 'performance tuning', 'c# basics', 'blender basics', 'ui/ux design advanced', '3d modeling/animation advanced', 'arkit, arcore, vuforia', '3d modeling/animation expert', '3d modeling and graphics', 'c++ advanced', 'c++, c# advanced', 'unreal engine advanced', 'cross-platform development', 'ui/ux expert', 'collaboration', 'team management', '3d modeling and animation expert', 'spatial computing', 'advanced 3d graphics', 'spatial computing basics', 'maya basics', 'c++ basics', 'unity basics', 'javascript basics', 'gesture and motion tracking', 'arkit basics', 'blender/maya basics', 'javascript advanced', 'unity, unreal engine expert', 'creativity', 'ui/ux advanced', 'team collaboration', 'c# advanced', '3d modeling fundamentals', 'unity, unreal engine advanced', 'machine learning basics', 'problem-solving', 'hardware integration', 'unity advanced']"
Android App Developer Trainee,"['ui/ux basics', 'sqlite', 'git', 'kotlin', 'mvc', 'java', 'android studio', 'rest apis']"
Android Architect,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Android Developer,"['unit testing', 'git', 'kotlin', 'room', 'jetpack', 'rest apis', 'firebase', 'java', 'android studio', 'mvvm']"
Android Developer Intern,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'mvc', 'java', 'rest api', 'android studio', 'rest apis']"
Android Developer Trainee,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'rest api', 'android studio']"
Android Development Intern,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'rest api', 'android studio']"
Android Solutions Architect,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Android Solutions Engineer,"['unit testing', 'kotlin', 'room', 'jetpack', 'rest apis', 'clean architecture', 'ci/cd', 'firebase', 'java', 'android studio', 'mvvm']"
Android Tech Lead,"['unit testing', 'kotlin', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Associate Android Developer,"['xml', 'sqlite', 'kotlin', 'git', 'ui/ux design', 'java', 'rest api', 'android studio']"
Associate Cloud Architect,"['cloud database basics', 'aws basics', 'docker', 'azure basics', 'linux administration']"
Associate Cybersecurity Analyst,"['wireshark', 'linux security', 'firewall basics', 'incident response', 'gdpr basics']"
Associate Network Engineer,"['python basics', 'bash basics', 'dhcp', 'dns', 'cisco ios', 'subnetting']"
Associate System Engineer,"['tcp/ip', 'perl basics', 'vmware', 'linux administration basics', 'cloud concepts']"
Associate UX Designer,"['team collaboration', 'typography', 'user research basics', 'wireframes', 'adobe xd', 'prototyping', 'sketch', 'figma']"
Associate iOS Engineer,"['git', 'swift', 'json', 'objective-c', 'rest apis']"
BI Analyst - Experienced,"['advanced tableau', 'looker', 'complex sql queries', 'advanced bi modeling', 'qlikview', 'data modeling', 'advanced analytics', 'predictive analytics', 'etl pipelines', 'snowflake', 'etl pipeline management', 'kpi definition', 'sql & database management', 'kpi and performance metrics development', 'sql optimization', 'tableau', 'sql', 'data governance', 'kpi monitoring', 'etl pipeline design', 'kpi development', 'predictive modeling', 'redshift', 'kpi strategy', 'power bi', 'sql queries', 'forecasting', 'data integration']"
