ExperienceLevel,Title,Normalized_Skill
Entry-Level,AI Engineer - Fresher,"['c++', 'r', 'pytorch', 'keras', 'nltk', 'java', 'clustering', 'python', 'pandas', 'supervised/unsupervised learning', 'regression', 'numpy', 'tensorflow', 'neural networks', 'opencv', 'classification', 'sql', 'mongodb', 'nosql', 'scikit-learn']"
Entry-Level,BI Analyst - Fresher,"['excel visualization', 'basic data analysis', 'mysql/postgresql', 'sql querying', 'mysql basics', 'postgresql basics', 'etl process knowledge', 'kpi knowledge', 'excel charts', 'business process knowledge', 'etl understanding', 'business metrics awareness', 'data analysis', 'kpi understanding', 'basic statistics', 'mysql', 'statistics', 'excel charts and dashboards', 'postgresql', 'etl awareness', 'tableau', 'etl knowledge', 'sql', 'basic statistical analysis', 'excel charts and pivot tables', 'etl process awareness', 'excel dashboards', 'business acumen', 'power bi', 'excel', 'etl process understanding']"
Entry-Level,Cloud Engineer - Fresher,"['shell scripting', 'git', 'jenkins', 'iam basics', 'azure basics', 'gcp basics', 'terraform/cloudformation knowledge', 'cloudwatch', 'docker/kubernetes', 'azure', 'gcp', 'monitoring: cloudwatch, prometheus', 'vpn', 'python/bash scripting', 'git/github/gitlab', 'aws', 'python', 'terraform/cloudformation awareness', 'monitoring: cloudwatch, azure monitor', 'docker basics', 'git/github', 'kubernetes basics', 'bash', 'cloudformation basics', 'aws codepipeline', 'monitoring: cloudwatch, prometheus, azure monitor', 'github actions', 'terraform/cloudformation basics', 'monitoring fundamentals', 'aws basics', 'prometheus', 'vpc', 'docker/kubernetes fundamentals', 'jenkins/github actions', 'terraform basics']"
Entry-Level,Data Analyst - Fresher,"['r', 'excel charts', 'matplotlib', 'python', 'spark basics', 'basic statistics', 'mysql', 'pandas', 'regression', 'postgresql', 'tableau', 'sql', 'excel functions', 'hypothesis testing', 'power bi', 'sas', 'hadoop', 'excel', 'hadoop basics', 'seaborn']"
Entry-Level,Frontend Developer - Entry Level,"['vue.js', 'git', 'html5', 'html', 'browser developer tools', 'javascript (es6+)', 'angular basics', 'vue.js basics', 'react basics', 'javascript', 'tailwind css', 'bootstrap', 'css3', 'css', 'react']"
Entry-Level,QA Engineer - Fresher,"['basic automation: selenium, appium, cucumber', 'java', 'soapui', 'soapui basics', 'python', 'postman basics', 'automation awareness: selenium, appium, cucumber', 'test documentation', 'basic automation: selenium webdriver, appium, cucumber', 'appium basics', 'cucumber awareness', 'manual testing', 'testrail', 'automation: selenium, appium, cucumber basic knowledge', 'selenium basics', 'javascript basics', 'automation tools awareness: selenium, appium, cucumber', 'manual testing: functional, regression, black-box', 'bugzilla', 'jira', 'javascript', 'postman']"
Entry-Level,Test Automation Engineer - Fresher,"['python basics', 'functional testing', 'testng basics', 'java', 'regression testing', 'appium', 'testng', 'selenium webdriver', 'python', 'postman basics', 'cypress', 'test documentation', 'test case writing', 'manual testing concepts', 'black-box testing', 'cypress basics', 'appium basics', 'selenium basics', 'javascript basics', 'java basics', 'bugzilla', 'selenium', 'jira']"
Experienced,.NET Developer,"['design patterns', 'kubernetes', 'csharp', 'ci/cd', 'entity framework', 'solid principles', 'azure devops', 'azure', 'rest apis', 'asp.net core', 'moq', 'docker', 'f#', 'angular', 'grpc', 'aspnet', 'testing with xunit', 'dotnet', 'sql server', 'dapper', 'blazor', 'webapi', 'testing with nunit', 'microservices', 'nosql', 'signalr']"
Experienced,AI Prompt Engineer,"['leadership', 'iterative prompt optimization', 'communication', 'pytorch', 'api integration (openai/azure)', 'python advanced', 'chain-of-thought prompts', 'machine learning for prompt tuning', 'deep nlp expertise', 'machine learning analysis', 'data visualization', 'python', 'hugging face', 'chain-of-thought prompting', 'data analysis', 'prompt optimization techniques', 'openai api', 'iterative prompt design', 'prompt chain-of-thought', 'tensorflow', 'advanced python', 'advanced prompt design (chain-of-thought, iterative optimization)', 'collaboration', 'critical thinking', 'hugging face transformers', 'nlp frameworks', 'javascript advanced', 'llm tuning', 'creativity', 'data analytics', 'javascript', 'advanced nlp', 'nlp techniques', 'prompt iterative optimization', 'prompt design optimization', 'problem-solving', 'azure cognitive services']"
Experienced,AR/VR Developer,"['leadership', 'c++, c# expert', 'vuforia', 'python basics', 'gesture/motion tracking', 'arkit advanced', 'arcore advanced', 'project management', 'cross-platform optimization', 'project coordination', 'performance optimization', 'ui/ux design expert', 'advanced 3d modeling/animation', 'advanced 3d modeling and animation', 'cross-platform deployment', 'performance tuning', 'ui/ux design advanced', '3d modeling/animation advanced', 'arkit, arcore, vuforia', '3d modeling/animation expert', '3d modeling and graphics', 'c++ advanced', 'c++, c# advanced', 'unreal engine advanced', 'cross-platform development', 'ui/ux expert', 'collaboration', 'team management', '3d modeling and animation expert', 'spatial computing', 'advanced 3d graphics', 'gesture and motion tracking', 'javascript advanced', 'unity, unreal engine expert', 'ui/ux advanced', 'team collaboration', 'c# advanced', 'unity, unreal engine advanced', 'machine learning basics', 'hardware integration', 'unity advanced']"
